biomarker,channel_index,fifth_pct,cv_background,snr,dynamic_range,flag,decision,notes
control555nm,2.0,59.0,0.1648076960048877,73.47827061939796,823.0,WARNING: narrow dynamic range → CLAHE or normalization,approved,
control647nm,3.0,821.0,0.025933665076793403,34.11669411708311,741.0,WARNING: narrow dynamic range → CLAHE or normalization,,
GranzymeB,7.0,1469.0,0.019224337761842937,19.471934619074045,558.0,WARNING: uniform background → rolling ball subtraction,,
Ki67,9.0,328.0,0.06854553206106265,73.34807687334693,1741.0,WARNING: narrow dynamic range → CLAHE or normalization,,
CD45,11.0,2167.0,0.015503911410473479,16.061876066248292,546.0,WARNING: uniform background → rolling ball subtraction,,
CD68,14.0,129.0,0.12073258392164106,54.2472851652286,930.0,WARNING: narrow dynamic range → CLAHE or normalization,,
CD8,15.0,892.0,0.05574530171998125,19.307071912622444,1008.0,WARNING: narrow dynamic range → CLAHE or normalization,,
FOXP3,18.0,83.0,0.14319018767844943,60.73513437717226,807.0,WARNING: narrow dynamic range → CLAHE or normalization,,
PDL1-E1L3N,19.0,2790.0,0.013169659780009623,13.068522319347869,485.0,WARNING: uniform background → rolling ball subtraction,,
ER,22.0,75.0,0.15693276626350594,44.108223735249794,590.0,WARNING: narrow dynamic range → CLAHE or normalization,,
HER2,23.0,1843.0,0.0189786981410463,38.60260473968328,1370.0,WARNING: uniform background → rolling ball subtraction,,
CD20,25.0,1070.0,0.06507548474441369,44.50637771929828,3279.0,WARNING: uniform background → rolling ball subtraction,,
PD1,27.0,2834.0,0.013533593552129257,11.818790559395842,458.0,WARNING: uniform background → rolling ball subtraction,,
CD57,29.0,802.0,0.025449722285351722,76.1640214141467,1586.0,WARNING: narrow dynamic range → CLAHE or normalization,,
CD3d,31.0,2411.0,0.030686998364356313,19.04582394281933,1449.0,WARNING: uniform background → rolling ball subtraction,,
HLA-DRA,34.0,265.0,0.14719121967489285,18.250765207680963,812.0,WARNING: narrow dynamic range → CLAHE or normalization,,
HLA-DPB1,35.0,623.0,0.05115708253618358,17.53233281665936,582.0,WARNING: narrow dynamic range → CLAHE or normalization,,
CD15,37.0,818.0,0.026116770203691318,62.03178047575067,1352.0,WARNING: narrow dynamic range → CLAHE or normalization,,
CD44,38.0,138.0,0.10729801873083071,70.369781495864,1133.0,WARNING: narrow dynamic range → CLAHE or normalization,,
PDPN,39.0,1074.0,0.024018990032843242,54.40740480607329,1431.0,WARNING: uniform background → rolling ball subtraction,,
,,,,,,,approved,Not needed
,,,,,,,approved,
